DATE,DNU,Revenue,DAU,D1,D7,D14,D30,D60,D90,D120,D180,D270,D365,D540,D730,D910
2017/12/15,463.9464567,204.5283081,463.9464567,0.658728016,0.273163648,0.212108238,0.18928619600000002,0.119868147,0.093214807,0.089986749,0.065586076,0.068658068,0.051115991,0.057103632,0.052376385,0.040575245
2017/12/16,455.32612170000004,329.15708010000003,760.9406506,0.699846162,0.275353881,0.21436552,0.190139184,0.11803127199999999,0.092833549,0.095837375,0.06546539900000001,0.067551126,0.054299573,0.060852385999999994,0.052677550999999996,0.040677641
2017/12/17,605.3918851,491.2098965,1131.090874,0.7041707159999999,0.29309597800000003,0.22822007600000002,0.181158668,0.117992109,0.09311872199999999,0.09626651,0.065134814,0.06768821400000001,0.054621487999999996,0.061084075999999994,0.049972645999999996,0.043332156
2017/12/18,554.8216179,605.8685078,1412.090054,0.66850163,0.29575846899999997,0.23067675399999998,0.178401383,0.11759631699999999,0.09881861900000001,0.090794344,0.065306728,0.067606332,0.051833579000000005,0.057495343,0.049239593,0.043470365
2017/12/19,509.8184501,624.6540125,1495.151899,0.659217994,0.281998851,0.220713596,0.17822845399999998,0.11790484400000001,0.099189543,0.089163378,0.06960757299999999,0.068025427,0.051091825,0.056362195,0.049351092,0.040874488
2017/12/20,447.5916385,710.5927045,1563.076617,0.6612712820000001,0.27911445,0.218795286,0.177519065,0.124368461,0.093759088,0.089154545,0.069859854,0.07264609,0.05122803099999999,0.05626330400000001,0.04933947599999999,0.040069777
2017/12/21,460.9492937,736.1904092999999,1670.599248,0.661739759,0.280883481,0.22024505800000002,0.17783554,0.12466285699999999,0.092098615,0.088862324,0.065711516,0.073096857,0.051239257,0.055979509000000004,0.049687605999999995,0.040031321
2017/12/22,485.8750393,778.0255323,1808.78355,0.667045604,0.281959709,0.221046043,0.187133752,0.11825062900000001,0.09202809699999999,0.08922431,0.064462352,0.069010595,0.051625015999999996,0.05612152,0.05285901900000001,0.03987941
2017/12/23,521.1115085,910.1392551000001,2008.7927539999998,0.710025888,0.284960359,0.22315841600000003,0.18747659100000003,0.116120037,0.091676125,0.095060214,0.06445759599999999,0.067847166,0.054936434000000006,0.059798357,0.053291343,0.040053102
2017/12/24,596.6414369,1037.827088,2348.049487,0.71647578,0.303377496,0.23670343600000002,0.178094505,0.11577593300000001,0.09196511800000001,0.09546610300000001,0.064276521,0.067909232,0.055410993,0.059999754,0.050742222000000003,0.04279217
2017/12/25,553.2878325,1032.5952550000002,2542.44502,0.683143065,0.306643207,0.238754175,0.175004627,0.11507783,0.097632045,0.08996341199999999,0.06462583200000001,0.067740144,0.052796873,0.056424260999999996,0.050171371,0.043040159
2017/12/26,508.914047,1149.063196,2560.389036,0.676155596,0.293398983,0.228298312,0.174581513,0.115091351,0.09796612699999999,0.088267994,0.06911727,0.068060541,0.052230803,0.05533041,0.050450079,0.040577117
